"P#","Topic","Question","Starter code","Answer","Difficulty"
"3101","Einsum","Sum of elements of a 1D tensor x via einsum.","einsum_sum_vector(x)","einops.einsum(x, 'i ->')","15"
"3102","Einsum","Compute row sums of a matrix A (shape n×m).","einsum_row_sums(A)","einops.einsum(A, 'i j -> i')","20"
"3103","Einsum","Compute column sums of a matrix A (shape n×m).","einsum_col_sums(A)","einops.einsum(A, 'i j -> j')","20"
"3104","Einsum","Frobenius inner product ⟨A,B⟩ for same-shape matrices.","einsum_fro_inner(A,B)","einops.einsum(A, B, 'i j, i j ->')","30"
"3105","Einsum","Extract the diagonal of a square matrix A.","einsum_diag(A)","einops.einsum(A, 'i i -> i')","30"
"3106","Einsum","Batched diagonal from a batch of square matrices A (b×n×n).","einsum_batched_diag(A)","einops.einsum(A, 'b i i -> b i')","35"
"3107","Einsum","Trace for each matrix in a batch A (b×n×n).","einsum_batched_trace(A)","einops.einsum(A, 'b i i -> b')","30"
"3108","Einsum","Batched matrix-vector product y = A @ x for A (b×n×m), x (b×m).","einsum_batched_mv(A,x)","einops.einsum(A, x, 'b i j, b j -> b i')","35"
"3109","Einsum","Batched matrix-matrix multiply C = A @ B for A (b×n×k), B (b×k×m).","einsum_batched_mm(A,B)","einops.einsum(A, B, 'b i k, b k j -> b i j')","40"
"3110","Einsum","Batched outer product for vectors u (b×m) and v (b×n).","einsum_batched_outer(u,v)","einops.einsum(u, v, 'b i, b j -> b i j')","30"
"3111","Einsum","Chain contraction: compute A @ B @ C with A (n×k), B (k×m), C (m×p).","einsum_three_mm(A,B,C)","einops.einsum(A, B, C, 'i k, k m, m p -> i p')","45"
"3112","Einsum","Compute pairwise dot products between rows of X (n×d) and Y (m×d).","einsum_pairwise_dots(X,Y)","einops.einsum(X, Y, 'n d, m d -> n m')","35"
"3113","Einsum","Gram matrix G = XᵀX for X (n×d).","einsum_gram(X)","einops.einsum(X, X, 'n d, n e -> d e')","40"
"3114","Einsum","Centered covariance Σ of X (n×d) given mean μ (d).","einsum_cov(X,mu)","einops.einsum(X - mu, X - mu, 'n d, n e -> d e') / (X.shape[0] - 1)","55"
"3115","Einsum","Transpose a matrix A (n×m) using einsum only.","einsum_transpose(A)","einops.einsum(A, 'i j -> j i')","20"
"3116","Einsum","Permute 4D tensor from (b,c,h,w) to (b,h,w,c).","einsum_permute_bchw_to_bhwc(T)","einops.einsum(T, 'b c h w -> b h w c')","25"
"3117","Einsum","Compute channel-wise grayscale: sum over channels with weights w (c).","einsum_grayscale(img,w)","einops.einsum(img, w, 'c h w, c -> h w')","30"
"3118","Einsum","Diagonal of product diag(A @ B) without forming full product.","einsum_diag_of_product(A,B)","einops.einsum(A, B, 'i k, k i -> i')","50"
"3119","Einsum","Batched Frobenius norm squared for images X (b×c×h×w).","einsum_batched_frob2(X)","einops.einsum(X, X, 'b c h w, b c h w -> b')","35"
"3120","Einsum","Kronecker product K = A ⊗ B for A (p×q), B (r×s).","einsum_kronecker(A,B)","einops.einsum(A, B, 'p q, r s -> p r q s')","60"
"3121","Einsum","Weighted average of rows of A (n×d) with weights w (n).","einsum_weighted_row_avg(A,w)","einops.einsum(w, A, 'n, n d -> d') / w.sum()","35"
"3122","Einsum","3-tensor contraction: C[a,i,k] = sum_j T[a,i,j] * U[a,j,k].","einsum_contract_3d(T,U)","einops.einsum(T, U, 'a i j, a j k -> a i k')","45"
"3123","Einsum","Spatial correlation map between two feature maps F,G (c×h×w).","einsum_spatial_corr(F,G)","einops.einsum(F, G, 'c h w, c h w -> h w')","40"
"3124","Einsum","Bilinear form y = xᵀ W x for W (d×d), x (d).","einsum_bilinear(W,x)","einops.einsum(x, W, x, 'i, i j, j ->')","55"
"3125","Einsum","Compute attention scores S = Q Kᵀ for Q (b×h×q×d), K (b×h×k×d).","einsum_attention_scores(Q,K)","einops.einsum(Q, K, 'b h q d, b h k d -> b h q k')","45"
"3126","Einsum","Attention output O from weights S (b×h×q×k) and values V (b×h×k×d).","einsum_attention_weighted_sum(S,V)","einops.einsum(S, V, 'b h q k, b h k d -> b h q d')","50"
"3127","Einsum","Channel mixing: Y[b,t,f] = X[b,t,c] M[c,f].","einsum_channel_mixing(X,M)","einops.einsum(X, M, 'b t c, c f -> b t f')","35"
"3128","Einsum","Per-token dot with a learned vector v: y[b,t] = X[b,t,d]·v[d].","einsum_token_dot(X,v)","einops.einsum(X, v, 'b t d, d -> b t')","25"
"3129","Einsum","Third-order tensor inner product ⟨A,B⟩ for same-shape A,B (a×b×c).","einsum_inner_3d(A,B)","einops.einsum(A, B, 'a b c, a b c ->')","30"
"3130","Einsum","Batched Gram matrix G[b,i,j] = ⟨A[b,i,:], A[b,j,:]⟩.","einsum_batched_gram(A)","einops.einsum(A, A, 'b i d, b j d -> b i j')","50"

