"P#","Topic","Question","Starter code","Answer","Difficulty"
"3400","EinopsDL","Flatten feature maps for a linear layer (b c h w -> b (c*h*w)).","flatten_for_linear(x)","einops.rearrange(x, 'b c h w -> b (c h w)')","20"
"3401","EinopsDL","Space-to-depth with factors h1=4, w1=2 (b c (h*4) (w*2) -> b (4*2*c) h w).","space_to_depth_4x2(x)","einops.rearrange(x, 'b c (h h1) (w w1) -> b (h1 w1 c) h w', h1=4, w1=2)","35"
"3402","EinopsDL","Depth-to-space inverse for h1=4, w1=2 (b (4*2*c) h w -> b c (h*4) (w*2)).","depth_to_space_4x2(x)","einops.rearrange(x, 'b (h1 w1 c) h w -> b c (h h1) (w w1)', h1=4, w1=2)","35"
"3403","EinopsDL","1D max pooling over time with window=3 (no overlap).","maxpool1d_w3(x)","einops.reduce(x, 'b c (t w) -> b c t', 'max', w=3)","30"
"3404","EinopsDL","1D average pooling over time with window=4 (no overlap).","avgpool1d_w4(x)","einops.reduce(x, 'b c (t w) -> b c t', 'mean', w=4)","25"
"3405","EinopsDL","3D max pooling with stride 2 in all spatial dims.","maxpool3d_s2(x)","einops.reduce(x, 'b c (x 2) (y 2) (z 2) -> b c x y z', 'max')","40"
"3406","EinopsDL","Per-image per-channel mean normalization (subtract spatial mean).","normalize_img_channels(x)","x - einops.reduce(x, 'b c h w -> b c 1 1', 'mean')","25"
"3407","EinopsDL","Per-batch per-channel mean normalization (global across batch).","normalize_batch_channels(x)","x - einops.reduce(x, 'b c h w -> 1 c 1 1', 'mean')","30"
"3408","EinopsDL","Stack list of BCHW tensors and convert to BHWC order.","stack_bchw_to_bhwc(list_of_tensors)","einops.rearrange(list_of_tensors, 'b c h w -> b h w c')","20"
"3409","EinopsDL","Stack list and move list axis to last: BCHW -> HWCB.","stack_bchw_to_hwcb(list_of_tensors)","einops.rearrange(list_of_tensors, 'b c h w -> h w c b')","25"
"3410","EinopsDL","Concatenate along first two dims: BCHW -> (b*h) w c.","concat_bh_first(list_of_tensors)","einops.rearrange(list_of_tensors, 'b c h w -> (b h) w c')","25"
"3411","EinopsDL","Concatenate along channel-last: BCHW -> h w (b*c).","concat_last(list_of_tensors)","einops.rearrange(list_of_tensors, 'b c h w -> h w (b c)')","25"
"3412","EinopsDL","Channel shuffle with groups g1=4, g2=4: (g1*g2*c) -> (g2*g1*c).","channel_shuffle_g1g2(x)","einops.rearrange(x, 'b (g1 g2 c) h w -> b (g2 g1 c) h w', g1=4, g2=4)","35"
"3413","EinopsDL","Simpler channel shuffle with groups g=4: (g*c) -> (c*g).","channel_shuffle_g(x)","einops.rearrange(x, 'b (g c) h w -> b (c g) h w', g=4)","30"
"3414","EinopsDL","Split bbox predictions into 4 variables (x,y,w,h).","split_bboxes(x)","bbox_x, bbox_y, bbox_w, bbox_h = einops.rearrange(x, 'b (coord bbox) h w -> coord b bbox h w', coord=4)","35"
"3415","EinopsDL","GLU-style split: first half then second (consecutive).","glu_split_consecutive(x)","part1, part2 = einops.rearrange(x, 'b (split c) h w -> split b c h w', split=2)","30"
"3416","EinopsDL","GLU-style split: interleaved channels (every other).","glu_split_interleaved(x)","part1, part2 = einops.rearrange(x, 'b (c split) h w -> split b c h w', split=2)","35"
"3417","EinopsDL","Pack subgrids for strided conv: move hs,ws into batch; then restore.","pack_unpack_strided(x,hs,ws)","y = einops.rearrange(x, 'b c (h hs) (w ws) -> (hs ws b) c h w', hs=hs, ws=ws); out = einops.rearrange(y, '(hs ws b) c h w -> b c (h hs) (w ws)', hs=hs, ws=ws)","40"
"3418","EinopsDL","Add fake batch for single image, flatten for classifier, then drop batch.","pipeline_single_image(img)","y = einops.rearrange(img, 'c h w -> () c h w'); preds = einops.rearrange(y, 'b c h w -> b (c h w)'); einops.rearrange(preds, '() classes -> classes')","30"
"3419","EinopsDL","Reduce to a scalar for loss sanity-check (sum over all dims).","sum_to_scalar(x)","einops.reduce(x, 'b c h w -> ', 'sum')","20"
"3420","EinopsDL","Temporal downsample by factor 2, keep batch and channels.","downsample_time2(x)","einops.rearrange(x, 'b c (t 2) -> b c t')","25"
"3421","EinopsDL","Move subgrid factors into batch for BCHW (like im2col with strides).","pack_subgrids_bchw(x)","einops.rearrange(x, 'b c (h hs) (w ws) -> (hs ws b) c h w', hs=2, ws=2)","35"
"3422","EinopsDL","Unpack subgrids back from batch to spatial dims (inverse of previous).","unpack_subgrids_bchw(y)","einops.rearrange(y, '(hs ws b) c h w -> b c (h hs) (w ws)', hs=2, ws=2)","35"
"3423","EinopsDL","Integrate einops layer: max-pool+flatten in torch Sequential.","torch_seq_reduce()","Reduce('b c (h 2) (w 2) -> b (c h w)', 'max')","30"

