P#,Topic,Question,Starter code,Answer,Difficulty
3501,Broadcasting,"Create [[0, 0], [1, 1], [2, 2]] using t.arange and einops.repeat.","repeat_rows()","einops.repeat(t.arange(3), 'h -> h w', w=2)",15
3502,Broadcasting,"Create [[1, 2, 3], [1, 2, 3]] using t.arange and einops.repeat.","repeat_cols()","einops.repeat(t.arange(1, 4), 'w -> h w', h=2)",15
3503,Broadcasting,"Add a length-d vector to each row of an (n, d) matrix.","add_vector(matrix,vec)","matrix + vec",20
3504,Broadcasting,"Center columns by subtracting the column-wise mean.","center_columns(matrix)","matrix - matrix.mean(dim=0, keepdim=True)",25
3505,Broadcasting,"Column-wise z-score: subtract mean and divide by std (numerically stable).","zscore_columns(matrix)","(matrix - matrix.mean(dim=0, keepdim=True)) / matrix.std(dim=0, keepdim=True).clamp_min(1e-8)",35
3506,Broadcasting,"Row-wise min-max scale each row to [0, 1].","minmax_rows(matrix)","(matrix - matrix.min(dim=1, keepdim=True).values) / (matrix.max(dim=1, keepdim=True).values - matrix.min(dim=1, keepdim=True).values).clamp_min(1e-8)",35
3507,Broadcasting,"Add per-channel bias vector to images shaped (n, c, h, w).","add_bias(images,bias)","images + bias.view(1, -1, 1, 1)",30
3508,Broadcasting,"Scale each image by a factor per batch: images (n, c, h, w), scales (n,).","scale_images(images,scales)","images * scales.view(-1, 1, 1, 1)",25
3509,Broadcasting,"Compute pairwise squared Euclidean distances between rows of X (n, d).","pairwise_sq_dists(X)","((X[:, None, :] - X[None, :, :]) ** 2).sum(dim=-1)",50
3510,Broadcasting,"Cosine similarity between X (n, d) and Y (m, d) via broadcast/normalize.","cross_cos_sim(X,Y)","t.nn.functional.normalize(X, dim=1) @ t.nn.functional.normalize(Y, dim=1).T",45
3511,Broadcasting,"Masked row mean: mask (n, 1) in {0,1} selects which columns contribute.","masked_row_mean(matrix,mask)","(matrix * mask).sum(dim=1) / mask.sum(dim=1).clamp_min(1e-8)",40
3512,Broadcasting,"Add a per-sequence offset to each timestep: series (b, t), offsets (b,).","add_offsets(series,offsets)","series + offsets.view(-1, 1)",20
3513,Broadcasting,"Weighted sum over last dim with weights (d,) for matrix (n, d).","weighted_sum(matrix,weights)","(matrix * weights.view(1, -1)).sum(dim=-1)",30
3514,Broadcasting,"Form 3D grid of sums: out[i,j,k] = x[i] + y[j] + z[k].","grid_sum(x,y,z)","x.view(-1, 1, 1) + y.view(1, -1, 1) + z.view(1, 1, -1)",45
3515,Broadcasting,"Per-channel standardization across spatial dims for (n, c, h, w).","per_channel_standardize(images)","(images - images.mean(dim=(2,3), keepdim=True)) / images.std(dim=(2,3), keepdim=True).clamp_min(1e-8)",45
3516,Broadcasting,"Row-wise softmax with temperature tau (scalar).","softmax_tau(scores,tau)","exp = (scores / tau).exp(); exp / exp.sum(dim=1, keepdim=True)",35
3517,Broadcasting,"Center embeddings by dataset mean: embeds (n, d).","center_embeddings(embeds)","embeds - embeds.mean(dim=0, keepdim=True)",20
3518,Broadcasting,"Batch outer product: A (b, n) and B (b, m) -> out (b, n, m).","batch_outer(A,B)","A.unsqueeze(2) * B.unsqueeze(1)",40
3519,Broadcasting,"Z-score temperatures per week: temps (w, 7).","zscore_weeks(temps)","(temps - temps.mean(dim=1, keepdim=True)) / temps.std(dim=1, keepdim=True).clamp_min(1e-8)",30
3520,Broadcasting,"Subtract per-feature baseline from X (b, t, d) with baseline (d,).","subtract_baseline(X,baseline)","X - baseline.view(1, 1, -1)",25
3521,Broadcasting,"Spatial weighted sum per channel: images (n, c, h, w), weights (h, w).","spatial_weighted_sum(images,weights)","(images * weights.unsqueeze(0).unsqueeze(0)).sum(dim=(2,3))",55
3522,Broadcasting,"Center by time max: X (b, t, d) minus max over time per (b, d).","center_by_time_max(X)","X - X.max(dim=1, keepdim=True).values",30
3523,Broadcasting,"Masked softmax per row with mask (n, d) in {0,1}.","masked_softmax(logits,mask)","exp = (logits - logits.max(dim=1, keepdim=True).values).exp() * mask; exp / exp.sum(dim=1, keepdim=True).clamp_min(1e-8)",60
3524,Broadcasting,"Apply per-frequency gain to audio (b, t, f) with gain (f,).","apply_gain(audio,gain)","audio * gain.view(1, 1, -1)",25
3525,Broadcasting,"Column-wise normalization by baseline b (d,): softmax-style across rows.","normalize_with_baseline(matrix,b)","exp = (matrix - b.view(1, -1)).exp(); exp / exp.sum(dim=0, keepdim=True)",50

