Topic,Subtopic,Question,Answer,Problem difficulty,Output
Numpy,Core array literacy,"Write a function solve(rows) that takes a nested Python list of equal-length inner lists of numbers and returns a tuple (a, shape, is_float). `a` is the 2-D PyTorch tensor built from rows. `shape` is a's shape as a plain Python tuple of ints, not a torch.Size. `is_float` is True when a's dtype is torch.float32 and False otherwise — remember that a tensor holds ONE type for every element, so a single float among the numbers changes the dtype of the whole tensor.","import torch as t

def solve(rows):
    a = t.tensor(rows)
    return (a, tuple(a.shape), a.dtype == t.float32)


example = [[1, 2, 3], [4, 5, 6]]
print(solve(example))
",12,"(tensor([[1, 2, 3],
        [4, 5, 6]]), (2, 3), False)"
Numpy,Core array literacy,"Write a function solve(values) that takes a FLAT Python list of numbers and returns a tuple (a, ndim). `a` is the tensor built from values, and `ndim` is its number of axes as a plain int. A flat list has one level of nesting, so think about what that makes ndim before you run it.","import torch
import torch as t

def solve(values):
    """"""Return (tensor built from values, its number of axes).""""""
    a = t.tensor(values)
    return (a, a.ndim)


example = [4, 1, 7]
print(solve(example))
",9,"(tensor([4, 1, 7]), 1)"
Numpy,Core array literacy,"Write a function solve(rows) that takes a nested Python list of equal-length inner lists and returns a tuple (ndim, numel) for the tensor built from it. `ndim` is the number of axes; `numel` is the total element count. Both must be plain Python ints. numel is the product of the shape, not the length of the outer list.","import torch
import torch as t

def solve(rows):
    """"""Return (number of axes, total element count) for the tensor from rows.""""""
    a = t.tensor(rows)
    return (a.ndim, a.numel())


example = [[1, 2, 3], [4, 5, 6]]
print(solve(example))
",16,"(2, 6)"
Numpy,Core array literacy,"Write a function solve(values) that takes a FLAT Python list of numbers and returns a tuple (dtype_name, numel). `dtype_name` is str() of the tensor's dtype — the string 'torch.int64' or 'torch.float32'. `numel` is the element count as a plain int. A tensor holds ONE type for every element, so a single float anywhere in the list decides the type of the whole block.","import torch
import torch as t

def solve(values):
    """"""Return (str of the tensor's dtype, its element count).""""""
    a = t.tensor(values)
    return (str(a.dtype), a.numel())


example = [1, 2, 3]
print(solve(example))
",20,"('torch.int64', 3)"
Numpy,Core array literacy,"Write a function solve(rows_a, rows_b) that builds a tensor from each nested list and returns a tuple (same_shape, same_dtype) of two bools: whether the two tensors agree on shape, and whether they agree on dtype. Two tensors can hold the same numbers in the same layout and still disagree on dtype, which is the mismatch that bites in real code.","import torch
import torch as t

def solve(rows_a, rows_b):
    """"""Return (do the shapes match?, do the dtypes match?).""""""
    a = t.tensor(rows_a)
    b = t.tensor(rows_b)
    return (a.shape == b.shape, a.dtype == b.dtype)


example = ([[1, 2], [3, 4]], [[5, 6], [7, 8]])
print(solve(*example))
",24,"(True, True)"
Numpy,Core array literacy,"Write a function solve(cube) that takes a TRIPLY nested Python list — a list of equal-length lists of equal-length lists of numbers — and returns a tuple (ndim, shape, numel). `shape` must be a plain Python tuple of ints, not a torch.Size. Nesting depth becomes the number of axes: the outermost list is axis 0.","import torch
import torch as t

def solve(cube):
    """"""Return (number of axes, shape as a plain tuple, element count).""""""
    a = t.tensor(cube)
    return (a.ndim, tuple(a.shape), a.numel())


example = [[[1, 2], [3, 4]], [[5, 6], [7, 8]]]
print(solve(example))
",30,"(3, (2, 2, 2), 8)"
Numpy,Core array literacy,"Write a function solve(rows) that returns a tuple (inferred_name, forced_name, unchanged). Build one tensor from rows and let PyTorch infer the dtype; build a second from the same rows but force it to torch.float32 by passing dtype=. The first two entries are str() of each tensor's dtype; `unchanged` is True when the two dtypes are equal. Forcing is how you stop an all-integer input from silently giving you an integer tensor where the rest of your code expects floats.","import torch
import torch as t

def solve(rows):
    """"""Return (inferred dtype name, forced float32 dtype name, are they equal?).""""""
    inferred = t.tensor(rows)
    forced = t.tensor(rows, dtype=t.float32)
    return (str(inferred.dtype), str(forced.dtype), inferred.dtype == forced.dtype)


example = [[1, 2], [3, 4]]
print(solve(example))
",36,"('torch.int64', 'torch.float32', False)"
Numpy,Vectorization and broadcasting,Write a function solve(x) that takes a PyTorch tensor and returns a new tensor with every element doubled. Write the formula once for the whole tensor — there is no loop to write.,"import torch as t

def solve(x):
    """"""Return x with every element doubled.""""""
    return x * 2


example = t.tensor([1.0, -2.0, 3.5])
print(solve(example))
",10,"tensor([ 2., -4.,  7.])"
Numpy,Vectorization and broadcasting,Write a function solve(x) that takes a PyTorch tensor of floats and returns a new tensor holding the absolute value of each element. The original must be left unchanged.,"import torch as t

def solve(x):
    """"""Return the absolute value of every element.""""""
    return x.abs()


example = t.tensor([-1.5, 2.0, -3.25])
print(solve(example))
",14,"tensor([1.5000, 2.0000, 3.2500])"
Numpy,Vectorization and broadcasting,"Write a function solve(x, lo, hi) that takes a float tensor and two floats, and returns a new tensor in which every element below lo has been raised to lo and every element above hi lowered to hi. Values already inside the range are left alone. Remember that min= sets the FLOOR and max= the CEILING — they read backwards from how they sound.","import torch as t

def solve(x, lo, hi):
    """"""Return x with every element pulled into [lo, hi].""""""
    return x.clamp(min=lo, max=hi)


example = (t.tensor([-3.0, 0.5, 9.0]), 0.0, 5.0)
print(solve(*example))
",26,"tensor([0.0000, 0.5000, 5.0000])"
Numpy,Core array literacy,Write a function solve(x) that takes a PyTorch tensor of any shape and returns a 1-D tensor holding the same values. Elements come out in row-major order: the LAST axis varies fastest.,"import torch as t

def solve(x):
    """"""Return x collapsed to a single axis.""""""
    return x.flatten()


example = t.tensor([[1, 2, 3], [4, 5, 6]])
print(solve(example))
",10,"tensor([1, 2, 3, 4, 5, 6])"
Numpy,Core array literacy,"Write a function solve(x, cols) that takes a tensor and a column count, and returns it reshaped into a 2-D tensor with exactly `cols` columns. Do not compute the row count yourself — pass -1 for it and let PyTorch infer the only value that can work.","import torch as t

def solve(x, cols):
    """"""Return x reshaped to `cols` columns, inferring the row count.""""""
    return x.reshape(-1, cols)


example = (t.arange(6), 3)
print(solve(*example))
",14,"tensor([[0, 1, 2],
        [3, 4, 5]])"
Numpy,Core array literacy,"Write a function solve(n, rows) that returns a 2-D tensor holding the integers 0 through n-1 in order, arranged into `rows` rows. n is always divisible by rows. Build the run of values first, then re-describe its shape.","import torch as t

def solve(n, rows):
    """"""Return 0..n-1 laid out with `rows` rows.""""""
    return t.arange(n).reshape(rows, -1)


example = (6, 2)
print(solve(*example))
",18,"tensor([[0, 1, 2],
        [3, 4, 5]])"
Numpy,Core array literacy,"Write a function solve(x) that returns a tuple (values, shape). `values` is a plain Python list of x's elements in row-major order; `shape` is x's shape as a plain tuple of ints. Together these are everything you would need to rebuild x — which is the whole point of reshape being free: the values never move.","import torch as t

def solve(x):
    """"""Return (flattened copy, shape before flattening).""""""
    return (x.flatten().tolist(), tuple(x.shape))


example = t.tensor([[1, 2, 3], [4, 5, 6]])
print(solve(example))
",24,"([1, 2, 3, 4, 5, 6], (2, 3))"
Numpy,Core array literacy,"Write a function solve(x) that takes a CONTIGUOUS 2-D integer tensor — one built directly, not a transpose or other rearranged view — reshapes it to 1-D, writes 99 into the first element of the RESULT, and returns a tuple (result_values, x_values_now) with both as plain lists. Reshaping a contiguous tensor hands back a view over the same memory, so watch what happens to x. The contiguity restriction is the point, not fine print: reshape can only give you a view when the values are already laid out in the order the new shape wants, and it silently copies when they are not.","import torch as t

def solve(x):
    """"""Return a reshaped VIEW and prove it shares storage.""""""
    v = x.reshape(-1)
    v[0] = 99
    return (v.tolist(), x.flatten().tolist())


example = t.tensor([[1, 2], [3, 4]])
print(solve(example))
",32,"([99, 2, 3, 4], [99, 2, 3, 4])"
Numpy,Core array literacy,"Write a function solve(x) that takes a PyTorch tensor and returns the sum of ALL its elements as a plain Python number, not a tensor. A whole-tensor reduction gives you a 0-dimensional tensor; .item() is how you get the number out of it.","import torch as t

def solve(x):
    """"""Return the sum of every element as a Python number.""""""
    return x.sum().item()


example = t.tensor([[1.0, 2.0], [3.0, 4.0]])
print(solve(example))
",10,10.0
